Prolific_ID,Test Type,Match 0 Mismatch 1,Dashboard Total Score,Dashboard Efficiency Seconds per correct answer,Paper_Folding_Test_Score,PF Test Percentage,Rotation_Test_1_Total_Correct_Count,Rotation_Test_2_Total_Correct_Count,Rotation Total,RT Test Percentage,Final SA score,High 0 Low 1,Financial_Literacy_Score,Feedback_MentalDemand,Feedback_PhysicalDemand,Feedback_TemporalDemand,Feedback_Performance,Feedback_Effort,Feedback_Frustration,TLX Total,TLX less Physical,Demographics_Age,Demographics_Education_Level,Demographics_Work_Experience,Demographics_Management_Experience,Demographics_Employment_Sector,TIME TAKEN,BONUS,Total payment
673436311530d29e66cf221c,Match,0,4,105.0,4.0,0.2,16,0,16,0.11428571428571428,0.15714285714285714,1,3.0,68,48,74,38,56,4,288,240,39.0,Undergraduate degree,More than 10,3-5,Manufacturing,,,
672f5d9e39d2d29090ebbb30,Mismatch,1,2,210.0,4.0,0.2,21,5,26,0.18571428571428572,0.19285714285714287,1,2.0,71,3,43,67,93,20,297,294,28.0,Some college,More than 10,1-3,Other,00:36:05,0.3,4.3
671de39e2db464f9c4e60164,Mismatch,1,11,38.18181818181818,1.0,0.05,29,23,52,0.37142857142857144,0.21071428571428572,1,3.0,60,87,59,0,88,11,305,218,30.0,Graduate degree,5-10,3-5,Information Technology,00:32:51,0.6,4.6
66e8f81e357d882730f18be0,Mismatch,1,7,60.0,5.0,0.25,7,28,35,0.25,0.25,1,2.0,63,72,1,81,97,0,314,242,,,,,,00:34:56,0.6,4.6
6734c0f4dece66870cdb4897,Match,0,9,46.666666666666664,2.0,0.1,30,30,60,0.42857142857142855,0.2642857142857143,1,3.0,52,3,37,93,43,0,228,225,35.0,Graduate degree,More than 10,3-5,Medicine,00:49:42,0.6,4.6
66f94259c9657cbd2194b163,Mismatch,1,6,70.0,1.0,0.05,39,38,77,0.55,0.30000000000000004,1,2.0,82,4,53,63,77,42,321,317,28.0,Graduate degree,5-10,3-5,Education and Training,00:37:10,0.4,4.4
6732fa40e490564b4205e473,Match,0,14,30.0,1.0,0.05,36,41,77,0.55,0.30000000000000004,1,3.0,85,84,5,5,23,71,273,189,42.0,Graduate degree,More than 10,3-5,Finance,04:18:45,0.8,4.8
609c6cc79875c8f0ba5d2242,Mismatch,1,13,32.30769230769231,2.0,0.1,31,42,73,0.5214285714285715,0.3107142857142857,1,2.0,83,62,25,78,52,23,323,261,47.0,Graduate degree,More than 10,5-10,Finance,00:31:39,0.8,4.8
66ce77e3d21bb5b5d6a83d37,Match,0,11,38.18181818181818,4.0,0.2,20,39,59,0.42142857142857143,0.3107142857142857,1,1.0,77,0,0,44,75,84,280,280,57.0,College diploma,More than 10,Less than one,Architecture and Construction,00:32:07,0.75,4.75
6737386c9d5608c43d6fdc2c,Mismatch,1,4,105.0,6.000000000000001,0.30000000000000004,13,33,46,0.32857142857142857,0.3142857142857143,1,2.0,84,5,87,27,90,44,337,332,41.0,Undergraduate degree,More than 10,More than 10,Marketing and Sales,00:44:54,0.5,4.5
5b967e547840dc0001e3392f,Match,0,8,52.5,8.0,0.4,15,17,32,0.22857142857142856,0.3142857142857143,1,3.0,47,45,46,2,55,4,199,154,21.0,Graduate degree,3-5,1-3,Information Technology,00:37:34,0.85,4.85
670b51569bc4cb66e1a4bdca,Mismatch,1,2,210.0,5.0,0.25,23,34,57,0.40714285714285714,0.32857142857142857,1,3.0,84,26,79,61,85,8,343,317,52.0,Graduate degree,More than 10,More than 10,Education and Training,00:44:50,0.35,4.35
